AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,New York,All,2014-15,40,7.2,0,127,"1,775",97.4%
State,New York,All,2014-15,41,6.6,0,123,"1,854",> 100%
State,New York,All,2014-15,42,7.4,2,136,"1,865",> 100%
State,New York,All,2014-15,43,6.5,0,118,"1,828",> 100%
State,New York,All,2014-15,44,7,0,134,"1,906",> 100%
State,New York,All,2014-15,45,6.5,0,124,"1,904",> 100%
State,New York,All,2014-15,46,7,0,135,"1,915",> 100%
State,New York,All,2014-15,47,7.2,0,141,"1,957",> 100%
State,New York,All,2014-15,48,6.7,0,130,"1,954",> 100%
State,New York,All,2014-15,49,7,2,137,"1,994",> 100%
State,New York,All,2014-15,50,8,3,153,"1,950",> 100%
State,New York,All,2014-15,51,7.4,8,139,"1,988",> 100%
State,New York,All,2014-15,52,9.4,19,176,"2,074",> 100%
State,New York,All,2014-15,53,10.8,31,204,"2,185",> 100%
State,New York,All,2014-15,1,12.4,43,239,"2,272",> 100%
State,New York,All,2014-15,2,12.3,48,235,"2,292",> 100%
State,New York,All,2014-15,3,11,36,206,"2,199",> 100%
State,New York,All,2014-15,4,9.3,29,173,"2,178",> 100%
State,New York,All,2014-15,5,9.7,27,190,"2,226",> 100%
State,New York,All,2014-15,6,9.5,25,182,"2,180",> 100%
State,New York,All,2014-15,7,8.8,13,181,"2,207",> 100%
State,New York,All,2014-15,8,10.8,15,212,"2,106",> 100%
State,New York,All,2014-15,9,9.2,12,189,"2,194",> 100%
State,New York,All,2014-15,10,9.1,10,184,"2,125",> 100%
State,New York,All,2014-15,11,9.2,9,180,"2,058",> 100%
State,New York,All,2014-15,12,8,10,153,"2,047",> 100%
State,New York,All,2014-15,13,8.7,8,173,"2,073",> 100%
State,New York,All,2014-15,14,8.8,8,167,"1,983",> 100%
State,New York,All,2014-15,15,8.8,6,172,"2,024",> 100%
State,New York,All,2014-15,16,8.8,4,171,"1,980",> 100%
State,New York,All,2014-15,17,7,1,132,"1,901",> 100%
State,New York,All,2014-15,18,7.6,3,140,"1,885",> 100%
State,New York,All,2014-15,19,8.4,2,156,"1,887",> 100%
State,New York,All,2014-15,20,8.2,2,148,"1,834",> 100%
State,New York,All,2014-15,21,7.6,0,140,"1,832",> 100%
State,New York,All,2014-15,22,8,0,146,"1,826",> 100%
State,New York,All,2014-15,23,6.8,2,123,"1,840",> 100%
State,New York,All,2014-15,24,7.6,0,131,"1,720",94.3%
State,New York,All,2014-15,25,8.1,2,140,"1,755",96.3%
State,New York,All,2014-15,26,7.5,0,131,"1,743",95.6%
State,New York,All,2014-15,27,6.8,1,119,"1,772",97.2%
State,New York,All,2014-15,28,7.5,0,135,"1,800",98.7%
State,New York,All,2014-15,29,6.9,0,124,"1,795",98.5%
State,New York,All,2014-15,30,7.3,0,132,"1,799",98.7%
State,New York,All,2014-15,31,7.2,0,122,"1,691",92.8%
State,New York,All,2014-15,32,6.4,0,115,"1,788",98.1%
State,New York,All,2014-15,33,7.3,0,127,"1,737",95.3%
State,New York,All,2014-15,34,7.1,0,122,"1,728",94.8%
State,New York,All,2014-15,35,7.6,0,139,"1,829",> 100%
State,New York,All,2014-15,36,6.2,0,114,"1,842",> 100%
State,New York,All,2014-15,37,6.6,0,114,"1,733",95.1%
State,New York,All,2014-15,38,6.6,0,117,"1,779",97.6%
State,New York,All,2014-15,39,7.8,0,137,"1,753",96.2%
State,New York,All,2015-16,40,6.7,0,133,"1,973",> 100%
State,New York,All,2015-16,41,6.6,0,121,"1,830",> 100%
State,New York,All,2015-16,42,7.8,1,151,"1,943",> 100%
State,New York,All,2015-16,43,7.4,0,141,"1,899",> 100%
State,New York,All,2015-16,44,7.7,0,146,"1,887",> 100%
State,New York,All,2015-16,45,6.7,0,122,"1,816",99.6%
State,New York,All,2015-16,46,6.8,1,125,"1,848",> 100%
State,New York,All,2015-16,47,6.8,0,125,"1,844",> 100%
State,New York,All,2015-16,48,7.2,0,135,"1,876",> 100%
State,New York,All,2015-16,49,7.6,0,148,"1,954",> 100%
State,New York,All,2015-16,50,7.6,1,140,"1,852",> 100%
State,New York,All,2015-16,51,7.1,1,130,"1,857",> 100%
State,New York,All,2015-16,52,8.5,0,155,"1,823",100%
State,New York,All,2015-16,1,7.4,0,150,"2,026",> 100%
State,New York,All,2015-16,2,8.2,0,171,"2,083",> 100%
State,New York,All,2015-16,3,7.6,0,156,"2,042",> 100%
State,New York,All,2015-16,4,7.9,1,165,"2,114",> 100%
State,New York,All,2015-16,5,8,2,167,"2,101",> 100%
State,New York,All,2015-16,6,7.1,2,136,"1,944",> 100%
State,New York,All,2015-16,7,8.4,2,170,"2,050",> 100%
State,New York,All,2015-16,8,9.6,6,190,"2,038",> 100%
State,New York,All,2015-16,9,8.2,5,165,"2,061",> 100%
State,New York,All,2015-16,10,8.7,12,175,"2,153",> 100%
State,New York,All,2015-16,11,7.8,15,137,"1,950",> 100%
State,New York,All,2015-16,12,9,12,172,"2,051",> 100%
State,New York,All,2015-16,13,8.5,13,159,"2,021",> 100%
