"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lat","lng"
"x516917917","x1104183012655132672",2019-03-09 00:51:59,"Robyn_Greene","VACCINATE YOUR FUCKING CHILDREN. 

And while you’re here, make sure your vaccinations are up-to-date, and get the flu shot every year. https://t.co/KqLlrEgkVD","Twitter for iPhone",134,,,,TRUE,FALSE,0,0,,,"twitter.com/deray/status/1…","https://t.co/KqLlrEgkVD","https://twitter.com/deray/status/1104174951983169547",,,,,,,,,,,"en","x1104174951983169547","One New York City student with measles sickened 21 people amid outbreak https://t.co/R01dvsdLek",2019-03-09 00:19:57,"Twitter for iPhone",50,60,"x29417304","deray","deray",1039150,900,229306,"Wakanda","I will never betray my heart. Activist. Organizer. Educator. @PodSaveThePpl. Author, On The Other Side of Freedom. IG: iamderay (deray@thisisthemovement.org)",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Robyn_Greene/status/1104183012655132672","Robyn Greene","Washington, DC","@Facebook privacy policy manager on surveillance & security. Formerly @OTI & @aclu. Lover of dogs, long runs, longer hikes, & the great outdoors. RT<U+2260>endorsement",,FALSE,1999,882,136,17119,3958,2012-03-06 21:40:21,FALSE,,,"en","https://pbs.twimg.com/profile_banners/516917917/1545978590","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/529295180336070656/xUC7gg07_normal.jpeg",,
"x803690845719306240","x1104182907076108288",2019-03-09 00:51:34,"tiarudd34","Yesterday--for the first time in my life, I successfully convinced a friend to get a flu shot. She hadn't gotten one for 10 years. After I explained about herd immunity, she said, ""Oh, is that what that's all about? Okay, I'll get one."" Score!!","Twitter Web Client",244,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiarudd34/status/1104182907076108288","Tia Rudd","Reno, NV","A voice for global public health: Writing. Training. Advocating. Connecting people to each other and to resources. And I live with a tiger.",,FALSE,81,199,0,952,907,2016-11-29 20:03:24,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821010849070317570/zFqtIZj4_normal.jpg",,
"x490468276","x1104182836448309248",2019-03-09 00:51:17,"AnnaEloyan1","Dear RFK Jr. Meet my son. He is 37 became quadriplegic 3 years ago after flu vax. We filed a petition with vacc court but will take years. It take 2 of us to care for him 24/7. We are going to lose our house. Please assist. <U+0001F64F>
#VaxWoke 

https://t.co/1iNiX5sYax

@RobertKennedyJr","Twitter Web Client",278,,,,FALSE,FALSE,0,0,"VaxWoke",,"gofundme.com/vahan-needs-fu…","https://t.co/1iNiX5sYax","https://www.gofundme.com/vahan-needs-funds-to-recover",,,,,,,,,"x337808606","RobertKennedyJr","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AnnaEloyan1/status/1104182836448309248","Anna","California, USA","Happily married, Mother, CEO, Entrepreneur,  “Success is the ability to go from one failure to another with no loss of enthusiasm""  Winston Churchill",,FALSE,4605,5065,3,3836,5006,2012-02-12 15:49:47,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/968663377269501957/EB7eWoWL_normal.jpg",,
"x490468276","x1104168187464056832",2019-03-08 23:53:05,"AnnaEloyan1","Please help my son walk again! 3 years ago my son had flu vaccine. Shortly he was paralyzed and left him quadriplegic. We lost our income. We need to continue his therapy and save our house. Please help! God bless you and Thank you<U+0001F64F> 
@elonmusk 
#VaxWoke 

https://t.co/1iNiX5sYax","Twitter Web Client",279,,,,FALSE,FALSE,2,1,"VaxWoke",,"gofundme.com/vahan-needs-fu…","https://t.co/1iNiX5sYax","https://www.gofundme.com/vahan-needs-funds-to-recover",,,,,,,,,"x44196397","elonmusk","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AnnaEloyan1/status/1104168187464056832","Anna","California, USA","Happily married, Mother, CEO, Entrepreneur,  “Success is the ability to go from one failure to another with no loss of enthusiasm""  Winston Churchill",,FALSE,4605,5065,3,3836,5006,2012-02-12 15:49:47,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/968663377269501957/EB7eWoWL_normal.jpg",,
"x490468276","x1104090433653637120",2019-03-08 18:44:07,"AnnaEloyan1","Please help my son walk again! 3 years ago my son had a flu vaccine. Shortly after he was paralyzed and left him quadriplegic. We lost our income. We need to continue his therapy and save our house. Please help! God bless you and Thank you<U+0001F64F> 
https://t.co/1iNiX5sYax https://t.co/Pb4YTx9ZDK","Twitter Web Client",265,,,,FALSE,FALSE,22,26,,,"gofundme.com/vahan-needs-fu…","https://t.co/1iNiX5sYax","https://www.gofundme.com/vahan-needs-funds-to-recover","http://pbs.twimg.com/media/D1KEFd6VAAARqfN.jpg","https://t.co/Pb4YTx9ZDK","https://twitter.com/AnnaEloyan1/status/1104090433653637120/photo/1","photo","http://pbs.twimg.com/media/D1KEFd6VAAARqfN.jpg","https://t.co/Pb4YTx9ZDK","https://twitter.com/AnnaEloyan1/status/1104090433653637120/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AnnaEloyan1/status/1104090433653637120","Anna","California, USA","Happily married, Mother, CEO, Entrepreneur,  “Success is the ability to go from one failure to another with no loss of enthusiasm""  Winston Churchill",,FALSE,4605,5065,3,3836,5006,2012-02-12 15:49:47,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/968663377269501957/EB7eWoWL_normal.jpg",,
"x2997116734","x1104182798141800453",2019-03-09 00:51:08,"evarodgers846","My worker has body aches and no flu? wtf","Twitter for iPhone",40,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/evarodgers846/status/1104182798141800453","eva rodgers","Charleston, IL","RN Sara Bush Lincoln","https://t.co/SmKYIxODK4",FALSE,19,504,0,81,164,2015-01-25 02:39:37,FALSE,"https://t.co/SmKYIxODK4","http://sarahbush.org","en","https://pbs.twimg.com/profile_banners/2997116734/1551589269","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1102029450395426816/lLYyI-iw_normal.jpg",,
"x3886197252","x1104182712829538304",2019-03-09 00:50:48,"Raggmuffx3","US Government lifts ban to allow 'dangerous' bird flu experiments https://t.co/JMJHJvUelN via @MailOnline","Twitter Web Client",105,,,,FALSE,FALSE,0,0,,,"mol.im/a/6786195","https://t.co/JMJHJvUelN","https://mol.im/a/6786195",,,,,,,,,"x15438913","MailOnline","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Raggmuffx3/status/1104182712829538304","The Real Ragg","Salt Lake City, UT","Borders, Language, Culture.<U+0001F1FA><U+0001F1F8>
Follow me on Gab @Raggmuffx3","https://t.co/5kxjIUqSgJ",FALSE,964,707,33,80247,61887,2015-10-14 00:54:21,FALSE,"https://t.co/5kxjIUqSgJ","https://gab.ai/Raggmuffx3","en","https://pbs.twimg.com/profile_banners/3886197252/1536196249","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1070480987170103296/yTo5dEcq_normal.jpg",,
"x1076902261803106304","x1104182629132169216",2019-03-09 00:50:28,"yungbella5","@DollfacemaraG Bofll guilty I was going to come by then I remembered fish got the flu","Twitter for iPhone",70,"x1104180256678776833","x2468587619","DollfacemaraG",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x2468587619","DollfacemaraG","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/yungbella5/status/1104182629132169216","YB<U+0001F47D>","St Petersburg, FL","<U+0001F47B>whosfiner",,FALSE,55,52,0,549,117,2018-12-23 18:08:01,FALSE,,,"en","https://pbs.twimg.com/profile_banners/1076902261803106304/1548382941",,"http://pbs.twimg.com/profile_images/1103084425699643393/3LopKBrO_normal.jpg",,
"x70024758","x1104182494767779840",2019-03-09 00:49:56,"Rambobiggs","US Government lifts four-year ban to allow 'dangerous' bird flu experiments  https://t.co/fDsnUgXytz","Twitter for iPhone",100,,,,FALSE,FALSE,4,5,,,"dailymail.co.uk/health/article…","https://t.co/fDsnUgXytz","https://www.dailymail.co.uk/health/article-6786195/US-Government-lifts-four-year-ban-allow-dangerous-bird-flu-experiments.html",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Rambobiggs/status/1104182494767779840","Joe Biggs","Ormond Beach, FL","Combat Vet. 18thABN Corps. 82nd. 1st AD. Harleys. Hunting and Guns. Political Junkie. I say the things you think but are too scared to say ssgbiggs@gmail.com","https://t.co/mrH4JKT0ru",FALSE,206728,5880,1399,54790,101234,2009-08-30 02:20:52,TRUE,"https://t.co/mrH4JKT0ru","http://www.ssgbiggs.com","en","https://pbs.twimg.com/profile_banners/70024758/1549466924","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1103536487428182016/NvS66Qe6_normal.jpg",,
"x4777384850","x1104182431387594752",2019-03-09 00:49:41,"JanVanHorne","@bethduffy95 @BestCloserShow A relative, Sheriff’s Deputy, contracted a flu virus that can’t be identified. He’s now in ICU on a ventilator w/pneumonia &amp; sepsis. Where the hell did this come from? From people crossing unlawfully over our border???","Twitter for iPhone",222,"x1104155194345033729","x260800920","bethduffy95",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x260800920 x1092161088077086721","bethduffy95 BestCloserShow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JanVanHorne/status/1104182431387594752","Janice","SO CA, USA","Adore my POTUS<U+0001F1FA><U+0001F1F8>, SO CA Deplorable, cancer survivor,proud Widow, Mom, Mother-in-Law, Grandmom of LEO heroes<U+2763><U+FE0F><U+0001F46E><U+0001F46E><U+200D><U+2640><U+FE0F>Retired Aerospace Analyst, love my doggies",,FALSE,469,39,3,20555,23956,2016-01-18 07:46:56,FALSE,,,"en",,,"http://pbs.twimg.com/profile_images/1010225241488949249/wi08MGGK_normal.jpg",,
